Type,x,y
-1,0.08620689655172413,0.17241379310344826
-1,0.5172413793103448,0.2586206896551724
0,0.6499999999999998,0.4499999999999999
0,0.14999999999999997,0.3499999999999999
0,0.8499999999999999,0.6499999999999998
0,0.19999999999999996,0.7499999999999999
0,0.6999999999999998,0.8999999999999998
1,0.5275862068965517,0.1275862068965517
1,0.37241379310344824,0.1275862068965517
1,0.3724137931034482,0.0
1,0.5275862068965516,0.0
2,0.37758620689655165,0.22758620689655168
2,0.22241379310344822,0.22758620689655168
2,0.22241379310344817,0.07241379310344825
2,0.3775862068965516,0.07241379310344824
3,0.37758620689655165,0.3775862068965516
3,0.22241379310344822,0.37758620689655165
3,0.22241379310344817,0.22241379310344822
3,0.3775862068965516,0.22241379310344817
4,0.37758620689655165,0.5275862068965516
4,0.22241379310344822,0.5275862068965517
4,0.22241379310344817,0.37241379310344824
4,0.3775862068965516,0.3724137931034482
5,0.5275862068965517,0.5775862068965516
5,0.37241379310344824,0.5775862068965517
5,0.3724137931034482,0.42241379310344823
5,0.5275862068965516,0.4224137931034482
6,0.5275862068965517,0.7275862068965516
6,0.37241379310344824,0.7275862068965516
6,0.3724137931034482,0.5724137931034481
6,0.5275862068965516,0.5724137931034481
7,0.6775862068965516,0.7775862068965516
7,0.5224137931034482,0.7775862068965516
7,0.5224137931034482,0.6224137931034481
7,0.6775862068965515,0.6224137931034481
8,0.8275862068965516,0.8275862068965516
8,0.6724137931034481,0.8275862068965516
8,0.6724137931034481,0.6724137931034481
8,0.8275862068965516,0.6724137931034481
9,0.9775862068965516,0.8775862068965516
9,0.8224137931034481,0.8775862068965516
9,0.8224137931034481,0.7224137931034481
9,0.9775862068965516,0.7224137931034481
10,1.0,0.7775862068965516
10,0.9224137931034481,0.7775862068965516
10,0.9224137931034481,0.6224137931034481
10,1.0,0.6224137931034481
